please explain fare code f	answer_1(A,(const(A,fare_basis_code(_f))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what does fare code q mean	answer_1(A,(const(A,fare_basis_code(_q))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what does fare code m mean	answer_1(A,(const(A,fare_basis_code(_m))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what is booking class c	answer_1(A,(const(A,fare_basis_code(_c))))
explain the fare code q	answer_1(A,(const(A,fare_basis_code(_q))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what does code y mean	answer_1(A,(const(A,fare_basis_code(_y))))
what is fare code c	answer_1(A,(const(A,fare_basis_code(_c))))
what is fare code y mean	answer_1(A,(const(A,fare_basis_code(_y))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what does the fare code f mean	answer_1(A,(const(A,fare_basis_code(_f))))
what does the fare code f mean	answer_1(A,(const(A,fare_basis_code(_f))))
what does fare code y mean	answer_1(A,(const(A,fare_basis_code(_y))))
what is fare code f	answer_1(A,(const(A,fare_basis_code(_f))))
what is fare code f	answer_1(A,(const(A,fare_basis_code(_f))))
what is fare code m	answer_1(A,(const(A,fare_basis_code(_m))))
what is fare class h	answer_1(A,(const(A,fare_basis_code(_h))))
what is the meaning of meal code s	answer_1(A,(const(A,meal_code(s))))
what is fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what is fare code q	answer_1(A,(const(A,fare_basis_code(_q))))
what does the fare code y mean	answer_1(A,(const(A,fare_basis_code(_y))))
what does fare code y mean	answer_1(A,(const(A,fare_basis_code(_y))))
what is the fare code y and what is the fare code h	answer_1(A,(const(A,fare_basis_code(_h))))
what is fare code f	answer_1(A,(const(A,fare_basis_code(_f))))
fare code y what does that mean	answer_1(A,(const(A,fare_basis_code(_y))))
what is sa	answer_1(A,(const(A,days_code(sa))))
what does fare code qx mean	answer_1(A,(const(A,fare_basis_code(_qx))))
what does s/ designate as a meal	answer_1(A,(const(A,meal_code(s_))))
what does ea mean	answer_1(A,(const(A,airline_code(ea))))
what does fare code qo mean	answer_1(A,(const(A,fare_basis_code(_qo))))
what airline uses the code hp	answer_1(A,(const(A,airline_code(hp))))
airline code as	answer_1(A,(const(A,airline_code(as))))
what airline is ac	answer_1(A,(const(A,airline_code(ac))))
what does the meal code s/ stand for	answer_1(A,(const(A,meal_code(s_))))
explain fare code qx	answer_1(A,(const(A,fare_basis_code(_qx))))
what does fare code qo mean	answer_1(A,(const(A,fare_basis_code(_qo))))
what airline is as	answer_1(A,(const(A,airline_code(as))))
what does fare code qo mean	answer_1(A,(const(A,fare_basis_code(_qo))))
what does the abbreviation co mean	answer_1(A,(const(A,airline_code(co))))
what does ua stand for	answer_1(A,(const(A,airline_code(ua))))
what does co mean	answer_1(A,(const(A,airline_code(co))))
what is ua	answer_1(A,(const(A,airline_code(ua))))
what is ff	answer_1(A,(const(A,airline_code(ff))))
what is dl	answer_1(A,(const(A,airline_code(dl))))
what is hp	answer_1(A,(const(A,airline_code(hp))))
what does ea mean	answer_1(A,(const(A,airline_code(ea))))
what does the airline code dl stand for	answer_1(A,(const(A,airline_code(dl))))
what is ff	answer_1(A,(const(A,airline_code(ff))))
could you tell me what the abbreviation us stands for	answer_1(A,(const(A,airline_code(us))))
what does ls stand for	answer_1(A,(const(A,meal_code(ls))))
airline that stands for dl	answer_1(A,(const(A,airline_code(dl))))
what does flight code us mean	answer_1(A,(const(A,airline_code(us))))
what is fare code fn	answer_1(A,(const(A,fare_basis_code(_fn))))
define airline hp	answer_1(A,(const(A,airline_code(hp))))
what airline is ea	answer_1(A,(const(A,airline_code(ea))))
what does nw stand for	answer_1(A,(const(A,airline_code(nw))))
what is hp	answer_1(A,(const(A,airline_code(hp))))
what is airline ff	answer_1(A,(const(A,airline_code(ff))))
what does fare code qo mean	answer_1(A,(const(A,fare_basis_code(_qo))))
code ff	answer_1(A,(const(A,airline_code(ff))))
what is fare code qw	answer_1(A,(const(A,fare_basis_code(_qw))))
i'd like to see the fare code again qx	answer_1(A,(const(A,fare_basis_code(_qx))))
what does code yn mean	answer_1(A,(const(A,fare_basis_code(_yn))))
what does us stand for	answer_1(A,(const(A,airline_code(us))))
what's fare code yn	answer_1(A,(const(A,fare_basis_code(_yn))))
what does us mean	answer_1(A,(const(A,airline_code(us))))
what does the abbreviation dl mean	answer_1(A,(const(A,airline_code(dl))))
what is hp	answer_1(A,(const(A,airline_code(hp))))
what does the fare code yn mean	answer_1(A,(const(A,fare_basis_code(_yn))))
what is airline dl	answer_1(A,(const(A,airline_code(dl))))
what does yn stand for	answer_1(A,(const(A,fare_basis_code(_yn))))
what is sa	answer_1(A,(const(A,days_code(sa))))
what airline is hp	answer_1(A,(const(A,airline_code(hp))))
what is airline nw	answer_1(A,(const(A,airline_code(nw))))
what does fare code qo mean	answer_1(A,(const(A,fare_basis_code(_qo))))
what airline stands for hp	answer_1(A,(const(A,airline_code(hp))))
what does us mean	answer_1(A,(const(A,airline_code(us))))
what is ua	answer_1(A,(const(A,airline_code(ua))))
what does code qw mean	answer_1(A,(const(A,fare_basis_code(_qw))))
what is airline nw	answer_1(A,(const(A,airline_code(nw))))
what does fare code qw mean	answer_1(A,(const(A,fare_basis_code(_qw))))
what does the fare code qx mean	answer_1(A,(const(A,fare_basis_code(_qx))))
define airline ua	answer_1(A,(const(A,airline_code(ua))))
what is airline us	answer_1(A,(const(A,airline_code(us))))
what does fn under fare code mean	answer_1(A,(const(A,fare_basis_code(_fn))))
describe fare code qx	answer_1(A,(const(A,fare_basis_code(_qx))))
what is the yn code	answer_1(A,(const(A,fare_basis_code(_yn))))
what does the abbreviation ua mean	answer_1(A,(const(A,airline_code(ua))))
what is as	answer_1(A,(const(A,airline_code(as))))
what does d/s stand for for meals	answer_1(A,(const(A,meal_code(d_s))))
what is ewr	answer_1(A,(const(A,airport_code(ewr))))
what is bna	answer_1(A,(const(A,airport_code(bna))))
does the philadelphia airport have a name	answer_1(A,(const(A,airport_code(phl))))
what is ewr	answer_1(A,(const(A,airport_code(ewr))))
what does ewr mean	answer_1(A,(const(A,airport_code(ewr))))
what is mco	answer_1(A,(const(A,airport_code(mco))))
what is mco	answer_1(A,(const(A,airport_code(mco))))
what does mco mean	answer_1(A,(const(A,airport_code(mco))))
what does ord mean	answer_1(A,(const(A,airport_code(ord))))
what type of plane is an m80	answer_1(A,(const(A,aircraft_code(m80))))
what does hou mean	answer_1(A,(const(A,airport_code(hou))))
what is the abbreviation d10	answer_1(A,(const(A,aircraft_code(d10))))
what is yyz	answer_1(A,(const(A,airport_code(yyz))))
what is mia	answer_1(A,(const(A,airport_code(mia))))
what is the name of the airport at denver	answer_1(A,(const(A,airport_code(den))))
what does mco stand for	answer_1(A,(const(A,airport_code(mco))))
what does ewr mean	answer_1(A,(const(A,airport_code(ewr))))
what is the name of the airport in philadelphia	answer_1(A,(const(A,airport_code(phl))))
what does lax stand for	answer_1(A,(const(A,airport_code(lax))))
what is ewr	answer_1(A,(const(A,airport_code(ewr))))
describe pittsburgh airport	answer_1(A,(const(A,airport_code(pit))))
what is mco	answer_1(A,(const(A,airport_code(mco))))
what's the name of the denver airport	answer_1(A,(const(A,airport_code(den))))
please list information regarding san francisco airport	answer_1(A,(const(A,airport_code(sfo))))
what is ewr	answer_1(A,(const(A,airport_code(ewr))))
what is ewr	answer_1(A,(const(A,airport_code(ewr))))
what does mco stand for	answer_1(A,(const(A,airport_code(mco))))
what does dfw mean	answer_1(A,(const(A,airport_code(dfw))))
what is bur	answer_1(A,(const(A,airport_code(bur))))
explain meal codes sd/d	answer_1(A,(const(A,meal_code(sd_d))))
what is the ap/57 restriction	answer_1(A,(const(A,meal_code(ap_57))))
explain restriction ap80	answer_1(A,(const(A,meal_code(ap_80))))
what does ap57 mean	answer_1(A,(const(A,meal_code(ap_57))))
what does restriction ap/57 mean	answer_1(A,(const(A,meal_code(ap_57))))
what is restriction ap57	answer_1(A,(const(A,meal_code(ap_57))))
what is restriction ap57	answer_1(A,(const(A,meal_code(ap_57))))
what does restriction ap/57 mean	answer_1(A,(const(A,meal_code(ap_57))))
what's restriction ap68	answer_1(A,(const(A,meal_code(ap_68))))
what is restriction ap/80	answer_1(A,(const(A,meal_code(ap_80))))
what is restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
what does restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
what is restriction ap80	answer_1(A,(const(A,meal_code(ap_80))))
what does restriction ap/57 mean	answer_1(A,(const(A,meal_code(ap_57))))
what is the meaning of restriction ap80	answer_1(A,(const(A,meal_code(ap_80))))
explain the restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
what is restriction ap/55	answer_1(A,(const(A,meal_code(ap_55))))
what is restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
explain restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
what is restriction ap/57	answer_1(A,(const(A,meal_code(ap_57))))
what does restriction ap/80 mean	answer_1(A,(const(A,meal_code(ap_80))))
what is the ap57 restriction	answer_1(A,(const(A,meal_code(ap_57))))
how many passengers fit on a d9s	answer_1(C,(capacity(B,C),const(B,aircraft_code(d9s))))
how many people fit on a 73s	answer_1(C,(capacity(B,C),const(B,aircraft_code(73s))))
how many seats in a 100	answer_1(C,(capacity(B,C),const(B,aircraft_code(100))))
what's the capacity of a 733	answer_1(C,(capacity(B,C),const(B,aircraft_code(733))))
what is the seating capacity for the f28	answer_1(C,(capacity(B,C),const(B,aircraft_code(f28))))
how many people fit on a 72s airplane	answer_1(C,(capacity(B,C),const(B,aircraft_code(72s))))
