whats all there ?	(lambda $0:e (job $0))
show me all job that are available	(lambda $0:e (job $0))
all ?	(lambda $0:e (job $0))
all of it ?	(lambda $0:e (job $0))
all the jobs please ?	(lambda $0:e (job $0))
show me all job that are available	(lambda $0:e (job $0))
give me a list of all the jobs ?	(lambda $0:e (job $0))
show me what jobs there are ?	(lambda $0:e (job $0))
show me everything ?	(lambda $0:e (job $0))
everything ?	(lambda $0:e (job $0))
could you list all the jobs ?	(lambda $0:e (job $0))
what work do you have available ?	(lambda $0:e (job $0))
what are all the jobs ?	(lambda $0:e (job $0))
id like to see everything ?	(lambda $0:e (job $0))
what jobs are there ?	(lambda $0:e (job $0))
i would like to see all the jobs ?	(lambda $0:e (job $0))
show me what needs experience ?	(lambda $0:e (and_ (job $0) (req_exp $0)))
show me jobs requiring no experience	(lambda $0:e (and_ (job $0) (not_ (req_exp $0))))
show me jobs requiring no experience	(lambda $0:e (and_ (job $0) (not_ (req_exp $0))))
show jobs in usa ?	(lambda $0:e (and_ (job $0) (loc $0 usa)))
what jobs are there for a com specialist ?	(lambda $0:e (and_ (job $0) (area $0 com)))
show the jobs for a com specialist ?	(lambda $0:e (and_ (job $0) (area $0 com)))
list jobs in wan ?	(lambda $0:e (and_ (job $0) (area $0 wan)))
what jobs are there for a gui specialist ?	(lambda $0:e (and_ (job $0) (area $0 gui)))
show me positions in web programming ?	(lambda $0:e (and_ (job $0) (area $0 web)))
are there any jobs in lan ?	(lambda $0:e (and_ (job $0) (area $0 lan)))
give me the jobs for a lan specialist ?	(lambda $0:e (and_ (job $0) (area $0 lan)))
show me the jobs that require 2 years experience	(lambda $0:e (and_ (job $0) (req_exp $0 2)))
what jobs need at least 2 years of experience ?	(lambda $0:e (and_ (job $0) (req_exp $0 2)))
show me jobs in texas	(lambda $0:e (and_ (job $0) (loc $0 texas)))
show me the jobs that require 2 years experience	(lambda $0:e (and_ (job $0) (req_exp $0 2)))
show the jobs for a odbc specialist ?	(lambda $0:e (and_ (job $0) (area $0 odbc)))
are there any jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
are there any jobs requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
give me the jobs in dallas ?	(lambda $0:e (and_ (job $0) (loc $0 dallas)))
give me the jobs for a games specialist ?	(lambda $0:e (and_ (job $0) (area $0 games)))
what jobs are there in games ?	(lambda $0:e (and_ (job $0) (area $0 games)))
give me jobs in dallas ?	(lambda $0:e (and_ (job $0) (loc $0 dallas)))
are there any jobs in austin ?	(lambda $0:e (and_ (job $0) (loc $0 austin)))
show the jobs in austin ?	(lambda $0:e (and_ (job $0) (loc $0 austin)))
list jobs in austin ?	(lambda $0:e (and_ (job $0) (loc $0 austin)))
show the jobs in dallas ?	(lambda $0:e (and_ (job $0) (loc $0 dallas)))
list the jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
tell me the jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
show jobs requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
list jobs in austin ?	(lambda $0:e (and_ (job $0) (loc $0 austin)))
list jobs requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
what jobs are there requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
give me jobs for a games specialist ?	(lambda $0:e (and_ (job $0) (area $0 games)))
give me jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
are there any jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
what jobs are there requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
are there any jobs requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
show the jobs requiring ba ?	(lambda $0:e (and_ (job $0) (req_deg $0 BA)))
give me jobs requiring bs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BS)))
what jobs are there in houston ?	(lambda $0:e (and_ (job $0) (loc $0 houston)))
are there any jobs in houston ?	(lambda $0:e (and_ (job $0) (loc $0 houston)))
what jobs are there in usa ?	(lambda $0:e (and_ (job $0) (country $0 usa)))
tell me the jobs on mvs ?	(lambda $0:e (and_ (job $0) (platform $0 mvs)))
show me the jobs that operate on sun ?	(lambda $0:e (and_ (job $0) (platform $0 sun)))
what jobs are there requiring bscs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSCS)))
list jobs on sun ?	(lambda $0:e (and_ (job $0) (platform $0 sun)))
list the jobs in 'c++' ?	(lambda $0:e (and_ (job $0) (language $0 c++)))
are there any jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
are there any jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
list jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
show jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
are there any jobs on sun ?	(lambda $0:e (and_ (job $0) (platform $0 sun)))
are there any jobs using sql ?	(lambda $0:e (and_ (job $0) (language $0 sql)))
are there any jobs on ibm ?	(lambda $0:e (and_ (job $0) (platform $0 ibm)))
are there any jobs requiring bscs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSCS)))
what jobs are there on x86 ?	(lambda $0:e (and_ (job $0) (platform $0 x86)))
show the jobs on sun ?	(lambda $0:e (and_ (job $0) (platform $0 sun)))
are there any jobs on vax ?	(lambda $0:e (and_ (job $0) (platform $0 vax)))
what jobs are there requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
what jobs are there using rpg ?	(lambda $0:e (and_ (job $0) (language $0 rpg)))
give me the jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
what jobs are there on x86 ?	(lambda $0:e (and_ (job $0) (platform $0 x86)))
what jobs are there on aix ?	(lambda $0:e (and_ (job $0) (platform $0 aix)))
list jobs using sql ?	(lambda $0:e (and_ (job $0) (language $0 sql)))
show the jobs requiring bsee ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSEE)))
show the jobs on mvs ?	(lambda $0:e (and_ (job $0) (platform $0 mvs)))
show the jobs on vms ?	(lambda $0:e (and_ (job $0) (platform $0 vms)))
i want a job that use 'c++' ?	(lambda $0:e (and_ (job $0) (language $0 c++)))
what jobs require a bscs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSCS)))
what jobs are there on vms ?	(lambda $0:e (and_ (job $0) (platform $0 vms)))
give me the jobs using sql ?	(lambda $0:e (and_ (job $0) (language $0 sql)))
what jobs are there using sql ?	(lambda $0:e (and_ (job $0) (language $0 sql)))
are there any jobs requiring bscs ?	(lambda $0:e (and_ (job $0) (req_deg $0 BSCS)))
are there any mac jobs open ?	(lambda $0:e (and_ (job $0) (platform $0 mac)))
