give me the cities in virginia	answer(city(loc_2(stateid('virginia'))))
what are the high points of states surrounding mississippi	answer(high_point_1(state(next_to_2(stateid('mississippi')))))
name the rivers in arkansas	answer(river(loc_2(stateid('arkansas'))))
can you tell me the capital of texas	answer(capital(loc_2(stateid('texas'))))
could you tell me what is the highest point in the state of oregon	answer(highest(place(loc_2(state(stateid('oregon'))))))
give me all the states of usa	answer(state(loc_2(countryid('usa'))))
give me the cities in texas	answer(city(loc_2(stateid('texas'))))
give me the cities in usa	answer(city(loc_2(countryid('usa'))))
give me the cities in virginia	answer(city(loc_2(stateid('virginia'))))
give me the cities which are in texas	answer(city(loc_2(stateid('texas'))))
give me the lakes in california	answer(lake(loc_2(stateid('california'))))
give me the largest state	answer(largest(state(all)))
give me the longest river that passes through the us	answer(longest(river(traverse_2(countryid('usa')))))
how big is alaska	answer(size(stateid('alaska')))
how big is massachusetts	answer(size(stateid('massachusetts')))
how big is new mexico	answer(size(stateid('new mexico')))
how big is north dakota	answer(size(stateid('north dakota')))
how big is texas	answer(size(stateid('texas')))
how big is the city of new york	answer(size(city(cityid('new york', _))))
how high are the highest points of all the states	answer(elevation_1(highest(place(loc_2(state(all))))))
how high is guadalupe peak	answer(elevation_1(placeid('guadalupe peak')))
how high is the highest point in montana	answer(elevation_1(highest(place(loc_2(stateid('montana'))))))
how high is the highest point in the largest state	answer(elevation_1(highest(place(loc_2(largest(state(all)))))))
how high is the highest point of delaware	answer(elevation_1(highest(place(loc_2(stateid('delaware'))))))
how high is the highest point of florida	answer(elevation_1(highest(place(loc_2(stateid('florida'))))))
how high is the highest point of louisiana	answer(elevation_1(highest(place(loc_2(stateid('louisiana'))))))
how large is the largest city in alaska	answer(size(largest(city(loc_2(stateid('alaska'))))))
how long is rio grande	answer(len(riverid('rio grande')))
how long is the mississippi	answer(len(riverid('mississippi')))
how long is the mississippi river	answer(len(river(riverid('mississippi'))))
how long is the mississippi river in miles	answer(len(river(riverid('mississippi'))))
how long is the missouri river	answer(len(river(riverid('missouri'))))
how long is the rio grande river	answer(len(river(riverid('rio grande'))))
how long is the shortest river in the usa	answer(len(shortest(river(loc_2(countryid('usa'))))))
how many big cities are in pennsylvania	answer(count(major(city(loc_2(stateid('pennsylvania'))))))
how many cities are in louisiana	answer(count(city(loc_2(stateid('louisiana')))))
how many cities are in montana	answer(count(city(loc_2(stateid('montana')))))
how many cities are there in the us	answer(count(city(loc_2(countryid('usa')))))
how many cities are there in us	answer(count(city(loc_2(countryid('usa')))))
how many cities are there in usa	answer(count(city(loc_2(countryid('usa')))))
how many cities does texas have	answer(count(city(loc_2(stateid('texas')))))
how many cities does the usa have	answer(count(city(loc_2(countryid('usa')))))
how many cities named austin are there in the usa	answer(count(intersection(city(cityid('austin', _)), loc_2(countryid('usa')))))
how many citizens in alabama	answer(population_1(stateid('alabama')))
how many citizens in boulder	answer(population_1(cityid('boulder', _)))
how many citizens live in california	answer(population_1(stateid('california')))
how many inhabitants does montgomery have	answer(population_1(cityid('montgomery', _)))
how many major cities are in arizona	answer(count(major(city(loc_2(stateid('arizona'))))))
