whats all there ?	answer(job(all))
show me all job that are available	answer(job(all))
all ?	answer(job(all))
all of it ?	answer(job(all))
all the jobs please ?	answer(job(all))
show me all job that are available	answer(job(all))
give me a list of all the jobs ?	answer(job(all))
show me what jobs there are ?	answer(job(all))
show me everything ?	answer(job(all))
everything ?	answer(job(all))
could you list all the jobs ?	answer(job(all))
what work do you have available ?	answer(job(all))
what are all the jobs ?	answer(job(all))
id like to see everything ?	answer(job(all))
what jobs are there ?	answer(job(all))
i would like to see all the jobs ?	answer(job(all))
show me what needs experience ?	answer(req_exp(job(all)))
show me jobs requiring no experience	answer(not(req_exp(job(all))))
show me jobs requiring no experience	answer(not(req_exp(job(all))))
show jobs in usa ?	answer(job(loc_1(const(usa))))
what jobs are there for a com specialist ?	answer(job(area_1(const(com))))
show the jobs for a com specialist ?	answer(job(area_1(const(com))))
list jobs in wan ?	answer(job(area_1(const(wan))))
what jobs are there for a gui specialist ?	answer(job(area_1(const(gui))))
show me positions in web programming ?	answer(job(area_1(const(web))))
are there any jobs in lan ?	answer(job(area_1(const(lan))))
give me the jobs for a lan specialist ?	answer(job(area_1(const(lan))))
show me the jobs that require 2 years experience	answer(job(req_exp_1(const(2))))
what jobs need at least 2 years of experience ?	answer(job(req_exp_1(const(2))))
show me jobs in texas	answer(job(loc_1(const(texas))))
show me the jobs that require 2 years experience	answer(job(req_exp_1(const(2))))
show the jobs for a odbc specialist ?	answer(job(area_1(const(odbc))))
are there any jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
are there any jobs requiring ba ?	answer(job(req_deg_1(const(BA))))
give me the jobs in dallas ?	answer(job(loc_1(const(dallas))))
give me the jobs for a games specialist ?	answer(job(area_1(const(games))))
what jobs are there in games ?	answer(job(area_1(const(games))))
give me jobs in dallas ?	answer(job(loc_1(const(dallas))))
are there any jobs in austin ?	answer(job(loc_1(const(austin))))
show the jobs in austin ?	answer(job(loc_1(const(austin))))
list jobs in austin ?	answer(job(loc_1(const(austin))))
show the jobs in dallas ?	answer(job(loc_1(const(dallas))))
list the jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
tell me the jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
show jobs requiring ba ?	answer(job(req_deg_1(const(BA))))
list jobs in austin ?	answer(job(loc_1(const(austin))))
list jobs requiring ba ?	answer(job(req_deg_1(const(BA))))
what jobs are there requiring ba ?	answer(job(req_deg_1(const(BA))))
give me jobs for a games specialist ?	answer(job(area_1(const(games))))
give me jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
are there any jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
what jobs are there requiring bs ?	answer(job(req_deg_1(const(BS))))
are there any jobs requiring ba ?	answer(job(req_deg_1(const(BA))))
show the jobs requiring ba ?	answer(job(req_deg_1(const(BA))))
give me jobs requiring bs ?	answer(job(req_deg_1(const(BS))))
what jobs are there in houston ?	answer(job(loc_1(const(houston))))
are there any jobs in houston ?	answer(job(loc_1(const(houston))))
what jobs are there in usa ?	answer(job(country_1(const(usa))))
tell me the jobs on mvs ?	answer(job(platform_1(const(mvs))))
show me the jobs that operate on sun ?	answer(job(platform_1(const(sun))))
what jobs are there requiring bscs ?	answer(job(req_deg_1(const(BSCS))))
list jobs on sun ?	answer(job(platform_1(const(sun))))
list the jobs in 'c++' ?	answer(job(language_1(const(c++))))
are there any jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
are there any jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
list jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
show jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
are there any jobs on sun ?	answer(job(platform_1(const(sun))))
are there any jobs using sql ?	answer(job(language_1(const(sql))))
are there any jobs on ibm ?	answer(job(platform_1(const(ibm))))
are there any jobs requiring bscs ?	answer(job(req_deg_1(const(BSCS))))
what jobs are there on x86 ?	answer(job(platform_1(const(x86))))
show the jobs on sun ?	answer(job(platform_1(const(sun))))
are there any jobs on vax ?	answer(job(platform_1(const(vax))))
what jobs are there requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
what jobs are there using rpg ?	answer(job(language_1(const(rpg))))
give me the jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
what jobs are there on x86 ?	answer(job(platform_1(const(x86))))
what jobs are there on aix ?	answer(job(platform_1(const(aix))))
list jobs using sql ?	answer(job(language_1(const(sql))))
show the jobs requiring bsee ?	answer(job(req_deg_1(const(BSEE))))
show the jobs on mvs ?	answer(job(platform_1(const(mvs))))
show the jobs on vms ?	answer(job(platform_1(const(vms))))
i want a job that use 'c++' ?	answer(job(language_1(const(c++))))
what jobs require a bscs ?	answer(job(req_deg_1(const(BSCS))))
what jobs are there on vms ?	answer(job(platform_1(const(vms))))
give me the jobs using sql ?	answer(job(language_1(const(sql))))
what jobs are there using sql ?	answer(job(language_1(const(sql))))
are there any jobs requiring bscs ?	answer(job(req_deg_1(const(BSCS))))
any jobs available using database ?	answer(job(area_1(const(database))))
show jobs using cics ?	answer(job(language_1(const(cics))))
what jobs does lcs recruit for ?	answer(job(recruiter_1(const(LCS))))
show jobs in html ?	answer(job(language_1(const(html))))
what database jobs are there ?	answer(job(area_1(const(database))))
are there any mac jobs open ?	answer(job(platform_1(const(mac))))
give me the jobs on unix ?	answer(job(platform_1(const(unix))))
are there any jobs for a graphics specialist ?	answer(job(area_1(const(graphics))))
what jobs are there using cics ?	answer(job(language_1(const(cics))))
are there any unix jobs ?	answer(job(platform_1(const(unix))))
show the jobs using html ?	answer(job(language_1(const(html))))
i would like to find a job using java ?	answer(job(language_1(const(java))))
list the jobs on unix ?	answer(job(platform_1(const(unix))))
what jobs are there for a database specialist ?	answer(job(area_1(const(database))))
any jobs available using database ?	answer(job(area_1(const(database))))
tell me jobs using html ?	answer(job(language_1(const(html))))
list the jobs in database ?	answer(job(area_1(const(database))))
list the jobs using cics ?	answer(job(language_1(const(cics))))
list the jobs for a database specialist ?	answer(job(area_1(const(database))))
are there any jobs that require the knowledge of linux platform ?	answer(job(platform_1(const(linux))))
what jobs can i find with tivoli ?	answer(job(company_1(const(Tivoli))))
what jobs are there using cobol ?	answer(job(language_1(const(cobol))))
are there any jobs using cobol ?	answer(job(language_1(const(cobol))))
what positions are there in networking ?	answer(job(area_1(const(networking))))
what jobs are there for a networking specialist ?	answer(job(area_1(const(networking))))
tell me jobs in networking ?	answer(job(area_1(const(networking))))
what jobs are there using 'tcl/tk' ?	answer(job(language_1(const(tcl/tk))))
are there any computer jobs in the field of statistics ?	answer(job(area_1(const(statistics))))
are there any jobs on novell ?	answer(job(platform_1(const(novell))))
are there any jobs for a programmer ?	answer(job(title_1(const(Programmer))))
are there any programmer jobs open ?	answer(job(title_1(const(Programmer))))
what jobs have a salary greater than 20 and hour ?	answer(job(salary_greater_than(20,hour)))
are there any programmer jobs open ?	answer(job(title_1(const(Programmer))))
is fortran required for any jobs ?	answer(job(language_1(const(fortran))))
are there any jobs on windows ?	answer(job(platform_1(const(windows))))
show jobs on windows ?	answer(job(platform_1(const(windows))))
give me jobs in san antonio ?	answer(job(loc_1(const('san antonio'))))
list jobs using assembly ?	answer(job(language_1(const(assembly))))
list the positions that require a knowledge of microsoft excel ?	answer(job(application_1(const(excel))))
list the positions that require a knowledge of microsoft excel ?	answer(job(application_1(const(excel))))
are there any jobs in san antonio ?	answer(job(loc_1(const('san antonio'))))
list the jobs using assembly ?	answer(job(language_1(const(assembly))))
show the jobs in san antonio ?	answer(job(loc_1(const('san antonio'))))
are there any jobs in san antonio ?	answer(job(loc_1(const('san antonio'))))
tell me the jobs in '3d' graphics ?	answer(job(area_1(const('3d graphics'))))
show me something that requires oracle ?	answer(job(application_1(const(oracle))))
what jobs are there for a '3d' graphics specialist ?	answer(job(area_1(const('3d graphics'))))
are there any jobs for a client server specialist ?	answer(job(area_1(const(client/server))))
what jobs are there for a '3d' graphics specialist ?	answer(job(area_1(const('3d graphics'))))
show the jobs in client server ?	answer(job(area_1(const(client/server))))
what jobs does microsoft recruit for ?	answer(job(company_1(const(Microsoft))))
list the jobs for a client server specialist ?	answer(job(area_1(const(client/server))))
what jobs are longhorn employment hiring for ?	answer(job(recruiter_1(const(Longhorn))))
show me jobs not involving 'c++' ?	answer(job(not(language_1(const(c++)))))
show me jobs not involving 'c++' ?	answer(job(not(language_1(const(c++)))))
list jobs in client server ?	answer(job(area_1(const(client/server))))
what jobs are longhorn employment hiring for ?	answer(job(recruiter_1(const(Longhorn))))
what are the jobs that pay 50000 per year ?	answer(job(salary_greater_than(50000,year)))
what jobs are there with a salary of 40000 ?	answer(job(salary_greater_than(40000,year)))
are there any autocad jobs open ?	answer(job(application_1(const(autocad))))
list the jobs using cobol ii ?	answer(job(language_1(const('cobol ii'))))
what jobs are there with a salary of more than 50000 dollars per year ?	answer(job(salary_greater_than(50000,year)))
show me jobs with a salary greater than 50000 dollars a year ?	answer(job(salary_greater_than(50000,year)))
show me the jobs with 30000 salary	answer(job(salary_greater_than(30000,year)))
list jobs in cobol ii ?	answer(job(language_1(const('cobol ii'))))
what jobs are there with a salary of 40000 ?	answer(job(salary_greater_than(40000,year)))
what jobs pay 40000 ?	answer(job(salary_greater_than(40000,year)))
give me jobs in cobol ii ?	answer(job(language_1(const('cobol ii'))))
show me the jobs with 30000 salary	answer(job(salary_greater_than(30000,year)))
are there any autocad jobs open ?	answer(job(application_1(const(autocad))))
tell me jobs using cobol ii ?	answer(job(language_1(const('cobol ii'))))
show me jobs paying greater than 50000 per year ?	answer(job(salary_greater_than(50000,year)))
what jobs pay at least 80000 dollars per year ?	answer(job(salary_greater_than(80000,year)))
tell me jobs for a device driver specialist ?	answer(job(area_1(const('device driver'))))
are there any jobs with a salary of 100000 ?	answer(job(salary_greater_than(100000,year)))
list the jobs in visual 'c++' ?	answer(job(language_1(const('visual c++'))))
tell me the jobs using powerbuilder ?	answer(job(language_1(const(powerbuilder))))
give me jobs using visual 'c++' ?	answer(job(language_1(const('visual c++'))))
which jobs use visual 'j++' as their development tool ?	answer(job(language_1(const('visual j++'))))
which jobs use visual 'j++' as their development tool ?	answer(job(language_1(const('visual j++'))))
what jobs are there on windows 95 ?	answer(job(platform_1(const('windows 95'))))
show the jobs in visual 'c++' ?	answer(job(language_1(const('visual c++'))))
give me the jobs in visual 'c++' ?	answer(job(language_1(const('visual c++'))))
are there any jobs using powerbuilder ?	answer(job(language_1(const(powerbuilder))))
tell me the jobs on windows nt ?	answer(job(platform_1(const('windows nt'))))
what jobs are there on windows nt ?	answer(job(platform_1(const('windows nt'))))
show jobs using powerbuilder ?	answer(job(language_1(const(powerbuilder))))
show me the jobs that are not in haskell ?	answer(job(not(language_1(const(haskell)))))
i want a job that doesnt use windows ?	answer(job(not(platform_1(const(windows)))))
show me the jobs that are not in haskell ?	answer(job(not(language_1(const(haskell)))))
what jobs have a recruiter named phil smith ?	answer(job(recruiter_1(const('Phil Smith'))))
are there any jobs for a data warehousing specialist ?	answer(job(area_1(const('data warehousing'))))
what jobs in austin require no experience ?	answer(job(not(req_exp(loc_1(const(austin))))))
tell me the jobs using visual basic ?	answer(job(language_1(const('visual basic'))))
what jobs are there in data warehousing ?	answer(job(area_1(const('data warehousing'))))
are there any project manager positions open ?	answer(job(title_1(const('Project Manager'))))
show jobs for a data warehousing specialist ?	answer(job(area_1(const('data warehousing'))))
give me jobs for a data warehousing specialist ?	answer(job(area_1(const('data warehousing'))))
tell me jobs using visual basic ?	answer(job(language_1(const('visual basic'))))
show jobs using visual basic ?	answer(job(language_1(const('visual basic'))))
what jobs in austin require no experience ?	answer(job(not(req_exp(loc_1(const(austin))))))
are there any project manager positions open ?	answer(job(title_1(const('Project Manager'))))
are there jobs that do not require a degree in houston ?	answer(job(not(req_deg(loc_1(const(houston))))))
what jobs require a bscs and no experience ?	answer(job(not(req_exp(req_deg_1(const(BSCS))))))
show me the job application for ic design engineer ?	answer(job(title_1(const('Ic Design Engineer'))))
what jobs are there that dont require a degree but use perl ?	answer(job(not(req_deg(language_1(const(perl))))))
what jobs use html but do not require a degree ?	answer(job(not(req_deg(language_1(const(html))))))
