whats all there ?	SELECT DISTINCT job.job_id FROM job
show me all job that are available	SELECT DISTINCT job.job_id FROM job
all ?	SELECT DISTINCT job.job_id FROM job
all of it ?	SELECT DISTINCT job.job_id FROM job
all the jobs please ?	SELECT DISTINCT job.job_id FROM job
show me all job that are available	SELECT DISTINCT job.job_id FROM job
give me a list of all the jobs ?	SELECT DISTINCT job.job_id FROM job
show me what jobs there are ?	SELECT DISTINCT job.job_id FROM job
show me everything ?	SELECT DISTINCT job.job_id FROM job
everything ?	SELECT DISTINCT job.job_id FROM job
could you list all the jobs ?	SELECT DISTINCT job.job_id FROM job
what work do you have available ?	SELECT DISTINCT job.job_id FROM job
what are all the jobs ?	SELECT DISTINCT job.job_id FROM job
id like to see everything ?	SELECT DISTINCT job.job_id FROM job
what jobs are there ?	SELECT DISTINCT job.job_id FROM job
i would like to see all the jobs ?	SELECT DISTINCT job.job_id FROM job
show me what needs experience ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp is not NULL
show me jobs requiring no experience	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp is NULL
show me jobs requiring no experience	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp is NULL
show jobs in usa ?	SELECT DISTINCT job.job_id FROM job JOIN country ON job.job_id = country.job_id WHERE country.country = "usa"
what jobs are there for a com specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "com"
show the jobs for a com specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "com"
list jobs in wan ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "wan"
what jobs are there for a gui specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "gui"
show me positions in web programming ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "web"
are there any jobs in lan ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "lan"
give me the jobs for a lan specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "lan"
show me the jobs that require 2 years experience	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp = 2
what jobs need at least 2 years of experience ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp = 2
show me jobs in texas	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "texas"
show me the jobs that require 2 years experience	SELECT DISTINCT job.job_id FROM job WHERE job.req_exp = 2
show the jobs for a odbc specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "odbc"
are there any jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
are there any jobs requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
give me the jobs in dallas ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "dallas"
give me the jobs for a games specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "games"
what jobs are there in games ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "games"
give me jobs in dallas ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "dallas"
are there any jobs in austin ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "austin"
show the jobs in austin ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "austin"
list jobs in austin ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "austin"
show the jobs in dallas ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "dallas"
list the jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
tell me the jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
show jobs requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
list jobs in austin ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "austin"
list jobs requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
what jobs are there requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
give me jobs for a games specialist ?	SELECT DISTINCT job.job_id FROM job JOIN area ON job.job_id = area.job_id WHERE area.area = "games"
give me jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
are there any jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
what jobs are there requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
are there any jobs requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
show the jobs requiring ba ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BA"
give me jobs requiring bs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BS"
what jobs are there in houston ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "houston"
are there any jobs in houston ?	SELECT DISTINCT job.job_id FROM job JOIN city ON job.job_id = city.job_id WHERE city.city_name = "houston"
what jobs are there in usa ?	SELECT DISTINCT job.job_id FROM job JOIN country ON job.job_id = country.job_id WHERE country.country = "usa"
tell me the jobs on mvs ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "mvs"
show me the jobs that operate on sun ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "sun"
what jobs are there requiring bscs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSCS"
list jobs on sun ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "sun"
list the jobs in 'c++' ?	SELECT DISTINCT job.job_id FROM job JOIN language ON job.job_id = language.job_id WHERE language.language = "c++"
are there any jobs requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
are there any jobs requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
list jobs requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
show jobs requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
are there any jobs on sun ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "sun"
are there any jobs using sql ?	SELECT DISTINCT job.job_id FROM job JOIN language ON job.job_id = language.job_id WHERE language.language = "sql"
are there any jobs on ibm ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "ibm"
are there any jobs requiring bscs ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSCS"
what jobs are there on x86 ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "x86"
show the jobs on sun ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "sun"
are there any jobs on vax ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "vax"
what jobs are there requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
what jobs are there using rpg ?	SELECT DISTINCT job.job_id FROM job JOIN language ON job.job_id = language.job_id WHERE language.language = "rpg"
give me the jobs requiring bsee ?	SELECT DISTINCT job.job_id FROM job WHERE job.req_deg = "BSEE"
what jobs are there on x86 ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "x86"
what jobs are there on aix ?	SELECT DISTINCT job.job_id FROM job JOIN platform ON job.job_id = platform.job_id WHERE platform.platform = "aix"
