please explain fare code f	answer(fare_basis_code(f))
what is fare code h	answer(fare_basis_code(h))
what does fare code q mean	answer(fare_basis_code(q))
what is fare code h	answer(fare_basis_code(h))
what does fare code m mean	answer(fare_basis_code(m))
what is fare code h	answer(fare_basis_code(h))
what is fare code h	answer(fare_basis_code(h))
what is booking class c	answer(fare_basis_code(c))
explain the fare code q	answer(fare_basis_code(q))
what is fare code h	answer(fare_basis_code(h))
what is fare code h	answer(fare_basis_code(h))
what does code y mean	answer(fare_basis_code(y))
what is fare code c	answer(fare_basis_code(c))
what is fare code y mean	answer(fare_basis_code(y))
what is fare code h	answer(fare_basis_code(h))
what does the fare code f mean	answer(fare_basis_code(f))
what does the fare code f mean	answer(fare_basis_code(f))
what does fare code y mean	answer(fare_basis_code(y))
what is fare code f	answer(fare_basis_code(f))
what is fare code f	answer(fare_basis_code(f))
what is fare code m	answer(fare_basis_code(m))
what is fare class h	answer(fare_basis_code(h))
what is the meaning of meal code s	answer(meal_code(s))
what is fare code h	answer(fare_basis_code(h))
what is fare code q	answer(fare_basis_code(q))
what does the fare code y mean	answer(fare_basis_code(y))
what does fare code y mean	answer(fare_basis_code(y))
what is the fare code y and what is the fare code h	answer(fare_basis_code(h))
what is fare code f	answer(fare_basis_code(f))
fare code y what does that mean	answer(fare_basis_code(y))
what is sa	answer(days_code(sa))
what does fare code qx mean	answer(fare_basis_code(qx))
what does s/ designate as a meal	answer(meal_code(s_))
what does ea mean	answer(airline_code(ea))
what does fare code qo mean	answer(fare_basis_code(qo))
what airline uses the code hp	answer(airline_code(hp))
airline code as	answer(airline_code(as))
what airline is ac	answer(airline_code(ac))
what does the meal code s/ stand for	answer(meal_code(s_))
explain fare code qx	answer(fare_basis_code(qx))
what does fare code qo mean	answer(fare_basis_code(qo))
what airline is as	answer(airline_code(as))
what does fare code qo mean	answer(fare_basis_code(qo))
what does the abbreviation co mean	answer(airline_code(co))
what does ua stand for	answer(airline_code(ua))
what does co mean	answer(airline_code(co))
what is ua	answer(airline_code(ua))
what is ff	answer(airline_code(ff))
what is dl	answer(airline_code(dl))
what is hp	answer(airline_code(hp))
what does ea mean	answer(airline_code(ea))
what does the airline code dl stand for	answer(airline_code(dl))
